,Run,Host,Sample.Name,New_Name
202,SRR7946112,Homo sapiens,TD_16,Touchdown_16
203,SRR7946113,Homo sapiens,TD_15,Touchdown_15
204,SRR7946114,Homo sapiens,TD_14,Touchdown_14
205,SRR7946115,Homo sapiens,TD_13,Touchdown_13
206,SRR7946116,Homo sapiens,TD_11,Touchdown_11
207,SRR7946117,Homo sapiens,TD_10,Touchdown_10
208,SRR7946118,Homo sapiens,TD_1,Touchdown_01
209,SRR7946119,Homo sapiens,TD_12,Touchdown_12
210,SRR7946120,Homo sapiens,TD_18,Touchdown_18
211,SRR7946121,Homo sapiens,TD_17,Touchdown_17
212,SRR7946122,Homo sapiens,40_15,40_Cycles_15
213,SRR7946123,Homo sapiens,40_16,40_Cycles_16
214,SRR7946124,Homo sapiens,40_18,40_Cycles_18
215,SRR7946125,Homo sapiens,40_11,40_Cycles_11
216,SRR7946126,Homo sapiens,40_12,40_Cycles_12
217,SRR7946127,Homo sapiens,40_17,40_Cycles_17
218,SRR7946128,Homo sapiens,40_13,40_Cycles_13
219,SRR7946129,Homo sapiens,40_14,40_Cycles_14
220,SRR7946130,Homo sapiens,40_19,40_Cycles_19
221,SRR7946131,Homo sapiens,40_2,40_Cycles_02
222,SRR7946132,Homo sapiens,N20_B4_3,Blank_Nested_20_B4_03
223,SRR7946133,Homo sapiens,N20_B4_2,Blank_Nested_20_B4_02
224,SRR7946134,Homo sapiens,N20_B4_1,Blank_Nested_20_B4_01
225,SRR7946135,Homo sapiens,N20_B3_4,Blank_Nested_20_B3_04
226,SRR7946136,Homo sapiens,N20_B3_3,Blank_Nested_20_B3_03
227,SRR7946137,Homo sapiens,N20_B3_2,Blank_Nested_20_B3_02
228,SRR7946138,Homo sapiens,N20_B3_1,Blank_Nested_20_B3_01
229,SRR7946139,Homo sapiens,N20_B2_4,Blank_Nested_20_B2_04
230,SRR7946140,Homo sapiens,N20_B2_3,Blank_Nested_20_B2_03
231,SRR7946141,Homo sapiens,N20_B2_2,Blank_Nested_20_B2_02
232,SRR7946142,Homo sapiens,TD_B5_3,Blank_Touchdown_B5_03
233,SRR7946143,Homo sapiens,TD_B5_2,Blank_Touchdown_B5_02
235,SRR7946145,Homo sapiens,TD_B5_4,Blank_Touchdown_B5_04
236,SRR7946146,Homo sapiens,TD_B5_7,Blank_Touchdown_B5_07
237,SRR7946147,Homo sapiens,TD_B5_6,Blank_Touchdown_B5_06
238,SRR7946148,Homo sapiens,TD_B5_9,Blank_Touchdown_B5_09
239,SRR7946149,Homo sapiens,TD_B5_8,Blank_Touchdown_B5_08
240,SRR7946150,Homo sapiens,40_10,40_Cycles_10
241,SRR7946151,Homo sapiens,40_1,40_Cycles_01
242,SRR7946152,Homo sapiens,N20_B5_4,Blank_Nested_20_B5_04
243,SRR7946153,Homo sapiens,N20_B5_5,Blank_Nested_20_B5_05
244,SRR7946154,Homo sapiens,N20_B5_1,Blank_Nested_20_B5_01
245,SRR7946155,Homo sapiens,N20_B5_10,Blank_Nested_20_B5_10
246,SRR7946156,Homo sapiens,N20_B4_4,Blank_Nested_20_B4_04
247,SRR7946157,Homo sapiens,N20_B4_5,Blank_Nested_20_B4_05
248,SRR7946158,Homo sapiens,N20_B5_2,Blank_Nested_20_B5_02
249,SRR7946159,Homo sapiens,N20_B5_3,Blank_Nested_20_B5_03
250,SRR7946160,Homo sapiens,N20_B5_11,Blank_Nested_20_B5_11
251,SRR7946161,Homo sapiens,N20_B5_12,Blank_Nested_20_B5_12
261,SRR7946171,Homo sapiens,TD_B4_2,Blank_Touchdown_B4_02
262,SRR7946172,Homo sapiens,TD_B4_3,Blank_Touchdown_B4_03
264,SRR7946174,Homo sapiens,TD_B3_4,Blank_Touchdown_B3_04
265,SRR7946175,Homo sapiens,TD_B4_1,Blank_Touchdown_B4_01
266,SRR7946176,Homo sapiens,TD_B5_1,Blank_Touchdown_B5_01
267,SRR7946177,Homo sapiens,TD_B5_10,Blank_Touchdown_B5_10
268,SRR7946178,Homo sapiens,TD_B4_5,Blank_Touchdown_B4_05
269,SRR7946179,Homo sapiens,TD_B5_11,Blank_Touchdown_B5_11
270,SRR7946180,Homo sapiens,TD_B5_12,Blank_Touchdown_B5_12
271,SRR7946181,Homo sapiens,TD_B4_4,Blank_Touchdown_B4_04
272,SRR7946182,Homo sapiens,N20_B5_7,Blank_Nested_20_B5_07
273,SRR7946183,Homo sapiens,N20_B5_6,Blank_Nested_20_B5_06
274,SRR7946184,Homo sapiens,N20_B5_9,Blank_Nested_20_B5_09
275,SRR7946185,Homo sapiens,N20_B5_8,Blank_Nested_20_B5_08
